bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Comics","/explore/comics","/projects/superiors-graphic-novel","2016-10-23T23:59:59-07:00","USD","80","0.02","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qj6ss01xbecn8pzixpww.jpg","false","false","null","2016-08-24T15:49:09-07:00","null","null","null","null","null","1872836","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Super heroes fight for mankind during a zombie outbreak. Veteran owned and created!","[""horror""]","Superiors: graphic novel"
"null","Food & Beverages","/explore/food-beverages","/projects/boakquet-all-in-one-oaking-infusion-vessel","2017-01-19T23:59:59-08:00","USD","2964","0.247","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ah7phnlnncse4ob6nyst.jpg","false","false","null","2016-11-30T22:48:30-08:00","null","null","null","null","null","1951304","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","OAK wines & spirits. INFUSE herbs, spices & fruits. FILTER spirits to a smooth finish.","[""wine""]","BOAKQUET: ALL-IN-ONE OAKING & INFUSION VESSEL"
"null","Art","/explore/art","/projects/libby-s-eyes-at-the-bunker--2","2018-06-08T23:59:59-07:00","GBP","1004","0.4016","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vkzt5o1whmhahi8wgskc.jpg","false","false","null","2018-05-09T13:24:11-07:00","null","null","null","null","null","2367837","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","In association with RNIB. Premiering at the Bunker Theatre as part of the Breaking Out Season.","[""comedy"",""robots""]","Libby's Eyes at The Bunker"
"null","Photography","/explore/photography","/projects/photography-goal","2013-04-03T23:59:59-07:00","USD","75","0.0375","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ryd67bz2u7cs1zbeyh2e.jpg","false","false","null","2013-02-02T08:39:59-08:00","null","null","null","null","null","321830","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","My goal is to raise $2,000 to put towards photography equipment, contribute to the community and help young people get closer to their goals.","[""other""]","Photography Goal"
"null","Phones & Accessories","/explore/phones-accessories","/projects/coverchute-unconventional-shockproof-iphone-case","2017-10-26T23:59:59-07:00","USD","160","0.0008","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/xydbcibrxpddvphwyro0.jpg","false","false","null","2017-09-16T01:14:21-07:00","null","null","null","null","null","2214677","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Make a cover using innovative  nanotechnology material with unmached shockproof performance","[""other""]","CoverChute Unconventional Shockproof iPhone Case"
"null","Tabletop Games","/explore/tabletop-games","/projects/the-sinister-stone-of-sakkara-5e","2018-09-01T23:59:59-07:00","USD","1300","0.52","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zy4oskgrljs0qaxeihfi.jpg","false","false","null","2018-08-04T14:24:16-07:00","null","null","null","null","null","2405111","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A ready-to-play adventure scenario designed for use with Fifth Edition","[""adventure""]","The Sinister Stone of Sakkara 5E"
"null","Video Games","/explore/video-games","/projects/eto-das-wtf-kartenspiel","2016-12-09T23:59:59-08:00","EUR","46","0.030666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ymoxchyiycbhv0mfipvd.jpg","false","false","null","2016-11-09T18:59:56-08:00","null","null","null","null","null","1937408","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","mit Äktschn, etwas Panik und Einfallsreichtum!
...achja...und mit Ratten!","[""other""]","ETO - das WTF Kartenspiel"
"null","Dance & Theater","/explore/dance-theater","/projects/because-you-re-not-a-new-play","2015-07-10T23:59:59-07:00","USD","1402","0.467333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/eju8rwbgc3tvrkcpw8gr.jpg","false","false","null","2015-05-26T11:26:31-07:00","null","null","null","null","null","1269112","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","""Because You're Not"" A New Play, is going to the Island Fringe Festival.","[""other""]","Because You're Not- A New Play"
"null","Local Businesses","/explore/local-businesses","/projects/help-pm-therapeutic-riding-center-buy-an-equicizer","2015-05-16T23:59:59-07:00","USD","445","0.148333333333","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/eicn8rvzr5jh8pjsmi09.jpg","false","false","null","2015-04-01T18:32:33-07:00","null","null","null","null","null","1196616","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","We're raising funds to buy an Equicizer to improve more lives through connections with horses.","[""other""]","Help PM Therapeutic Riding Center buy an Equicizer"
"null","Travel & Outdoors","/explore/travel-outdoors","/projects/aventures-culturelles-des-escapades-authentiques","2018-05-12T23:59:59-07:00","EUR","1900","0.085585585586","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dljhitvegkb9yq3tn82q.jpg","false","false","null","2018-03-23T04:21:21-07:00","null","null","null","null","null","2351581","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Et si vous aussi, vous participiez à cette aventure ?
Why don't you join the adventure too ?","[""websites""]","Aventures culturelles, des escapades authentiques"
