bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Food & Beverages","/explore/food-beverages","/projects/banjo-cold-brew-coffee--3","2015-04-28T23:59:59-07:00","USD","1960","0.130666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wnrgq18fjbmsbvb55k9d.jpg","false","false","null","2015-03-17T11:27:12-07:00","null","null","null","null","null","1117738","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A delectable, cold brewed coffee; pure and simple. CAFFEINATE RESPONSIBLY","[""other""]","Banjo Cold Brew Coffee"
"null","Photography","/explore/photography","/projects/living-the-dream-new-smyrna-beach-fl-photo-book","2017-12-04T23:59:59-08:00","USD","1555","0.0311","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/nhkzvgnvu0eoa3zixv7z.jpg","false","false","null","2017-11-09T15:24:43-08:00","null","null","null","null","null","2257175","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A beautiful photography book showcasing the legendary surf, art, music & people of our seaside town.","[""other""]","Living the Dream New Smyrna Beach FL Photo Book"
"null","Travel & Outdoors","/explore/travel-outdoors","/projects/the-nomatic-navigator-series","2020-05-07T23:59:59-07:00","USD","729563","6.72495","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dsojxalb1lkxnrqzdmkr.jpg","false","false","null","2020-05-06T23:59:59-07:00","null","null","null","null","null","2600136","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A Brand New Line of Bags That Help You Navigate Every Adventure.","[""backpacks"",""design"",""luggage"",""professional"",""bags""]","The NOMATIC Navigator Series"
"null","Tabletop Games","/explore/tabletop-games","/projects/pyxidanthera-oracle","2020-10-02T23:59:59-07:00","USD","615","1.23","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ge381eu09k2wi87uqt03.jpg","false","false","null","2020-08-18T00:00:00-07:00","null","null","null","null","null","2617682","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","a rune-like oracle and companion items by hadapixie designs","[""tarot""]","Pyxidanthera Oracle"
"null","Phones & Accessories","/explore/phones-accessories","/projects/liggghts-launcher-user-interface","2015-03-06T23:59:59-08:00","EUR","140","0.028","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hay8ephikepoh3xify6e.jpg","false","false","null","2015-02-04T10:57:13-08:00","null","null","null","null","null","1119455","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","LIGGGHTS Launcher Switches Science","[""other""]","LIGGGHTS Launcher User Interface"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/goldeluxe-jewelry-higher-quality-brass","2016-02-14T23:59:59-08:00","USD","731","0.243666666667","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/anit5ybyxmuknclsgk3g.jpg","false","false","null","2016-01-15T12:36:23-08:00","null","null","null","null","null","1594797","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Help me create higher quality brass jewelry with a Midas E-Coating system.","[""jewelry""]","Goldeluxe Jewelry: Higher Quality Brass"
"null","Writing & Publishing","/explore/writing-publishing","/projects/our-stories-from-dgh","2015-04-13T23:59:59-07:00","USD","350","0.35","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/rlzdbpweoihbkhz4aa28.jpg","false","false","null","2015-02-13T10:26:59-08:00","null","null","null","null","null","1135302","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Wouldnt you like a read a book full of stories from the Homes?","[""other""]","Our Stories from DGH"
"null","Film","/explore/film","/projects/iridescence-a-sci-fi-short-film","2019-12-31T23:59:59-08:00","USD","1655","0.08275","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/we3s6oberynvtcohhfh1.jpg","false","false","null","2019-12-01T00:00:00-08:00","null","null","null","null","null","2563391","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A group of friends stumble upon a new form of pseudo-biotechnology that could change EVERYTHING.","[""short film""]","IRIDESCENCE: A Sci-fi Short Film"
"null","Tabletop Games","/explore/tabletop-games","/projects/qasaaro-first-somali-board-game","2018-12-20T23:59:59-08:00","GBP","2139","0.2139","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hnyl4fhlteujrilqhh9m.jpg","false","false","null","2018-11-05T00:00:00-08:00","null","null","null","null","null","2424194","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The Hooyo mataalo board game - help us instil Somali culture and tradition into our downtime","[""family""]","Qasaaro - First Somali Board Game! "
"null","Home","/explore/home","/projects/rollable-hanger--2","2015-09-26T23:59:59-07:00","USD","250","0.025","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/litodtlhfwq4h7xgbqgl.jpg","false","false","null","2015-08-27T20:41:06-07:00","null","null","null","null","null","1410682","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A change to the conventional hanger allows users to easily hang clothes without stretching.","[""other""]","Rollable hanger"
"null","Photography","/explore/photography","/projects/sylvester-goes-to-cameroon-africa","2018-05-21T23:59:59-07:00","USD","183","0.04575","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bhdus56sx4gdlywozkyy.jpg","false","false","null","2018-04-06T22:01:42-07:00","null","null","null","null","null","2361913","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","A year ago I quit my job to follow my passions. Now I am going international for photography!","[""other""]","Sylvester Goes To Cameroon, Africa"
"null","Audio","/explore/audio","/projects/kulumi","2013-02-09T23:59:59-08:00","USD","3081","0.0385125","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/psc06adgdzbiuzv0q6ez.jpg","false","false","null","2012-12-14T21:48:39-08:00","null","null","null","null","null","277195","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Impact the Developing World with KULUMI - A portable LED Audio Lamp","[""other""]","KULUMI"
"null","Local Businesses","/explore/local-businesses","/projects/staff-relief-fund-for-penelope-s-gemini","2020-04-23T23:59:59-07:00","USD","5566","1.583142857143","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/wmicwd8ctbldok9yqube.jpg","false","false","null","2020-03-24T00:00:00-07:00","null","null","null","null","null","2590518","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","100% of funds raised will be donated to sales staff out of work due to the COVID-19 closure","[""community"",""clothing"",""family"",""jewelry"",""other""]","Staff Relief Fund for Penelope’s & Gemini"
